t,RT,Temp
1.000,9405.101,299.486
2.000,9405.101,299.486
3.000,8840.750,300.846
4.000,8291.030,302.269
5.000,7904.925,303.336
6.000,7624.476,304.149
7.000,7431.592,304.728
8.000,7413.517,304.783
9.000,7466.260,304.623
10.000,7520.764,304.458
11.000,7539.926,304.401
12.000,7379.459,304.888
13.000,7209.654,305.416
14.000,7078.730,305.834
15.000,6976.416,306.166
