0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,8,5,15,8,0,11,15,11,6,10,9,2,3,10,5,11,13,6,2
14,8,5,15,8,0,11,15,11,6,10,9,2,3,10,5,11,13,6,2
14,8,5,15,8,0,11,15,11,6,10,9,2,3,10,5,11,13,6,2
14,8,5,15,8,0,11,15,11,6,10,9,2,3,10,5,11,13,6,2
14,8,5,15,8,0,11,15,11,6,10,9,2,3,10,5,11,13,6,2
14,8,5,15,8,0,11,15,11,6,10,9,2,3,10,5,11,13,6,2
14,8,5,15,8,0,11,15,11,6,10,9,2,3,10,5,11,13,6,2
14,8,5,15,8,0,11,15,11,6,10,9,2,3,10,5,11,13,6,2
14,8,5,15,8,0,11,15,11,6,10,9,2,3,10,5,11,13,6,2
14,8,5,15,8,0,11,15,11,6,10,9,2,3,10,5,11,13,6,2
14,8,5,15,8,0,11,15,11,6,10,9,2,3,10,5,11,13,6,2
14,8,5,15,8,0,11,15,11,6,10,9,2,3,10,5,11,13,6,2
14,8,5,15,8,0,11,15,11,6,10,9,2,3,10,5,11,13,6,2
14,8,5,15,8,0,11,15,11,6,10,9,2,3,10,5,11,13,6,2
