ts,ro,tk
1.000,7316.446,305.082
2.000,7525.215,304.445
3.000,7710.493,303.896
4.000,7765.010,303.737
5.000,7666.901,304.024
6.000,7512.406,304.483
7.000,7393.251,304.845
8.000,7307.530,305.110
9.000,7338.201,305.015
10.000,7428.859,304.736
11.000,7511.550,304.486
12.000,7538.898,304.404
13.000,7502.031,304.514
14.000,7455.972,304.654
15.000,7411.609,304.789
